word,positive,negative
pencar,0,0
desconfiad*,0,1
aplasté,0,1
interruptor,0,0
humano*,0,0
aplastó,0,1
sabíais,0,0
afilió,0,0
vengar*,0,1
rehogar,0,0
presentaba*,0,0
provee,0,0
cubrir*,0,0
condenar,0,0
triunfan,1,0
proveo,0,0
infancia*,0,0
triunfar,1,0
canguro*,0,0
recibí,0,0
irse,0,0
tuya*,0,0
baloncesto,0,0
adherís,0,0
finalizaba*,0,0
deterioráis,0,0
duro*,0,0
leer,0,0
veneno*,0,1
bebedor*,0,0
ingirió,0,0
actos,0,0
huela*,0,0
enteind*,0,0
leen,0,0
contínu*,0,0
apena,0,1
donare*,0,0
friccionast*,0,0
notaba*,0,0
intelectual*,1,0
súbit*,0,0
cesar,0,0
parranda*,0,0
juvenil*,0,0
ajetrea*,0,0
compartiéramos,1,0
condena*,0,1
volviera*,0,0
empacásemos,0,0
maravilla*,0,0
recorría,0,0
infinitesimal*,0,0
retrasába*,0,0
proponía*,0,0
deterioréis,0,0
proteste*,0,1
finalizásemos,0,0
puse,0,0
incluido,0,0
puso,0,0
hereda*,0,0
entrevisto,0,0
supusimos,0,0
ahorraba*,0,0
ingeniero*,0,0
calló,0,0
entrevista,0,0
empaquetéis,0,0
persever*,0,0
sofoca*,0,0
callé,0,0
arrancaste*,0,0
discuto,0,1
gritásemos,0,0
ausente*,0,0
llegast*,0,0
arrancaron,0,0
agente*,0,0
distinguir,0,0
ver,0,0
ves,0,0
sacramento*,0,0
vez,0,0
halló,0,0
esposo*,0,0
huyeron,0,0
sobredosis,0,0
violase*,0,1
decir,0,0
solucionase*,0,0
inscribe*,0,0
hallé,0,0
ven,0,0
veo,0,0
posibilidad*,0,0
jugare*,0,0
considerad*,1,0
cocinaba*,0,0
maldit*,0,1
ataquéis,0,1
buardilla,0,0
caminase*,0,0
bubies,0,0
meser*,0,0
adhirieron,0,0
dependient*,0,0
atestigua*,0,0
metisteis,0,0
custodié,0,0
organizásemos,0,0
donará*,0,0
guiara*,0,0
entenderá*,0,0
pretendiste*,0,0
custodió,0,0
querer,1,0
puño,0,0
encuaderna*,0,0
cerebro*,0,0
entenderemos,0,0
solucionara*,0,0
fácil*,1,0
funera*,0,0
boca,0,0
sigo,0,0
enfisema,0,0
piensa,0,0
breved*,0,0
piense,0,0
acampa*,0,0
banquete*,0,0
píldora*,0,0
venga,0,0
volteo,0,0
vengo,0,0
enseñaste*,0,0
comenzáramos,0,0
referimos,0,0
olfateáis,0,0
desviásemos,0,0
mintáis,0,1
comprendiendo,0,0
colgad*,0,0
marimach*,0,0
erudición,1,0
oyeron,0,0
bebiera*,0,0
esperare*,0,0
brillante,0,0
suroccidente,0,0
pinche*,0,0
colón,0,0
había,0,0
examinando,0,0
simular*,0,0
aproxima*,0,0
pentagrama,0,0
excursionista*,0,0
pedisteis,0,0
asegurando,0,0
notó,0,0
juzgó,0,0
atornill*,0,0
enfocas,0,0
dedicaba*,0,0
benefici*,1,0
ahorraste*,0,0
premió,0,0
frustró,0,1
consumiera*,0,0
degrad*,0,1
tiendes,0,0
peculiar*,0,1
problema*,0,0
alentará*,1,0
enfocan,0,0
deduciré*,0,0
averigüé,0,0
despertó,0,0
cocinado,0,0
papas,0,0
desea,1,0
desperté,0,0
expresaste*,0,0
curiosa,0,0
